BreachDate,PwnCount,,,,
7/3/2012,3883455,,,,
30/1/2018,22477,,,,
28/10/2021,314290,,,,
29/9/2016,24451312,,,,
11/9/2018,41826763,,,,
16/2/2014,5176463,,,,
1/5/2015,504565,,,,
10/9/2019,4606,,,,
29/2/2016,1476783,,,,
12/4/2016,1957600,,,,
5/9/2018,808330,,,,
1/2/2021,139401,,,,
23/6/2020,768890,,,,
4/7/2022,533886,,,,
28/7/2018,45120,,,,
22/3/2012,37217682,,,,
30/7/2020,1107789,,,,
4/3/2020,68693853,,,,
11/6/2012,339487,,,,
25/6/2020,1075241,,,,
10/9/2016,5081689,,,,
28/2/2019,3670561,,,,
1/1/2016,7089395,,,,
25/6/2018,30484,,,,
8/3/2021,465141,,,,
5/5/2012,164611595,,,,
8/4/2021,125698496,,,,
1/5/2018,275785,,,,
21/2/2016,144989,,,,
1/1/2017,995698,,,,
19/6/2020,3385862,,,,
1/1/2017,26372781,,,,
29/8/2020,269552,,,,
16/1/2015,13451,,,,
13/5/2018,398011,,,,
24/8/2012,1074948,,,,
1/8/2013,1141278,,,,
1/8/2013,45018,,,,
1/4/2019,15453048,,,,
21/12/2017,109202,,,,
3/7/2016,326714,,,,
29/1/2022,101004,,,,
31/10/2015,93992,,,,
10/9/2014,16630988,,,,
15/11/2015,269548,,,,
27/7/2017,735405,,,,
15/11/2014,111623,,,,
9/6/2014,855249,,,,
22/3/2021,2987329,,,,
1/6/2016,1311610,,,,
13/5/2022,23040238,,,,
11/12/2018,205242,,,,
1/6/2020,1414677,,,,
14/3/2017,2257930,,,,
20/8/2019,89388,,,,
29/2/2016,27393015,,,,
13/1/2020,25692862,,,,
27/10/2016,119948,,,,
30/8/2016,845012,,,,
31/10/2013,437928,,,,
26/1/2020,1422717,,,,
25/7/2019,3081321,,,,
25/7/2019,24842001,,,,
18/3/2019,28364826,,,,
24/5/2015,16034,,,,
15/1/2016,71081,,,,
28/6/2015,188343,,,,
17/5/2019,396533,,,,
